src,dest
371,2060
1333,0
2060,1977
2060,0
0,1333
1977,1333
0,5058
5058,1333
4421,1977
0,1977
4421,1333
1977,2060
371,4421
371,5058
5058,0
2060,4421
4421,2060
4421,5058
4421,0
0,2060
1333,2060
6136,1
6480,2719
4119,2719
6136,9495
6136,2719
6480,1
4119,7135
1,6480
2719,1
9495,4418
7135,6136
6136,4418
9495,6136
9495,7135
9495,2719
7135,1
4119,4418
4119,6480
1,9495
4418,9495
4119,9495
7135,4418
6136,7135
1,7135
6480,9495
4418,6480
6480,7135
6136,6480
6271,2
3047,3801
9020,6775
7559,9562
8805,5240
6271,3047
5240,3801
2578,6775
7910,9477
3086,5240
5240,7559
3801,6775
9585,6271
2087,6271
3047,9477
3801,8510
3801,7559
7910,9020
9585,8035
3047,2
7910,9562
8510,3913
3913,7910
6775,9477
3047,3913
3801,5240
5240,8510
9562,8805
9585,7559
8805,8510
8035,2578
3086,3801
8805,7910
2087,3801
3913,3086
9562,8035
6271,8805
2,9562
3913,6775
2578,7559
2087,7559
3086,3913
2087,5240
8035,9562
5240,9477
9562,6271
2087,9477
3047,2578
8035,3913
6775,2087
8805,2
7559,8805
2,7910
3801,9562
3801,9020
9477,2087
3801,6271
2,3086
2,6775
7559,8510
8035,9477
9477,5240
7910,3047
9020,3086
2,5240
3047,9020
6271,8035
9020,2
8510,6271
6775,2578
9585,8805
8805,6271
7559,6775
2,2087
3086,7910
8035,9020
2578,3086
8510,5240
9585,3913
3086,9585
8510,3086
7910,2578
6271,3086
5240,6271
9585,2
2578,2087
9477,8510
9477,2578
9562,2578
7559,3047
5240,8035
2,8035
5240,3913
8510,7559
2,3047
2087,2
3047,8510
2578,9477
2578,8510
7910,5240
9562,5240
8805,6775
8035,8510
9562,3086
7910,6775
8035,8805
9562,3801
2,9477
2578,8035
3047,8805
9585,6775
9020,7910
8510,9020
3086,2578
3801,3086
6271,8510
9562,3913
7559,2
5240,8805
3913,2087
7910,3913
9562,9585
7559,3801
8510,8035
9585,2087
9477,8035
9585,9477
9020,8805
9477,3086
6775,3801
3801,2
2087,8510
9020,3801
2578,9020
3086,2087
9020,7559
3086,6271
3913,3801
8805,9585
9020,6271
9562,7910
8035,7559
9477,6271
9585,9020
2578,2
7910,2087
2,3801
9585,3086
3086,8510
2087,9562
5240,9020
6775,8035
2087,3047
7910,3086
9585,8510
7910,9585
2578,3913
7910,8510
3913,2
3913,8805
3913,8035
8510,9562
3086,9477
7910,6271
9477,8805
8035,2
6775,3086
7559,2578
2,2578
8035,7910
2578,7910
6499,7142
7196,3
1786,6663
4488,2701
6659,8671
3345,2450
7142,1008
3345,4081
3,7344
6659,3608
6008,2915
6499,7344
7196,5939
7072,6499
7344,6008
3608,1008
6608,4786
2701,7350
6663,3
7072,4786
7350,6608
2915,7072
8671,5939
5939,6008
7142,7072
4122,7196
5939,2450
6008,3
2701,7072
2450,4122
6499,2915
1008,4488
4786,2701
3,6608
8416,6608
3345,7350
4081,4122
3,6659
6008,4081
7350,2915
8416,2915
4488,1786
7142,6008
6499,5939
6608,2915
1786,2701
7344,1008
3608,7350
7344,7142
6499,4488
8416,3345
4786,7196
1008,3
2450,6659
4081,2450
5939,4786
2701,1008
6008,6608
6659,6663
4786,4488
6499,8416
4081,7350
3,6663
4488,3345
4081,7142
