src,dest
0,44
0,144
0,351
0,464
0,1058
0,1458
0,1554
0,1579
0,1619
0,1752
0,1981
0,2274
0,2543
0,2905
0,2939
0,3289
0,3299
0,3589
0,3814
0,3828
0,3969
0,4354
0,4694
0,4820
0,4920
0,5042
0,5084
0,5182
0,5279
0,5351
0,6566
0,6579
0,7089
0,7240
0,7297
0,7508
0,7585
0,7764
0,8402
0,8740
0,9060
0,9061
0,9166
0,9379
0,9605
0,9874
1,56
1,133
1,212
1,538
1,853
1,1682
1,2178
1,2395
1,2538
1,2862
1,3510
1,3891
1,3997
1,4095
1,4415
1,4453
1,4553
1,4786
1,4944
1,4975
1,5060
1,5285
1,5395
1,5638
1,5779
1,6564
1,6885
1,6887
1,7510
1,7619
1,8345
1,8418
1,8895
1,8913
1,9246
1,9372
1,9605
1,9614
2,558
2,730
2,1132
2,1226
2,1523
2,1921
2,2552
2,2668
2,2766
2,2917
2,2935
2,3391
2,3472
2,3529
2,3549
2,3707
2,3709
2,3938
2,4076
2,4424
2,4601
2,5191
2,5385
2,5411
2,5984
2,6032
2,6212
2,6503
2,6549
2,6654
2,6822
2,6985
2,7494
2,7999
2,8360
2,8464
2,8503
2,8630
2,8754
2,8832
2,9678
2,9980
3,112
3,6284
3,7059
4,586
4,902
4,1064
4,1302
4,2150
4,2516
4,3451
4,3583
4,3966
4,4251
4,4559
4,4782
4,4978
4,5773
4,6515
4,6966
4,7559
4,7607
4,7722
4,8202
4,9240
5,1215
5,1476
5,1588
5,2486
5,3215
5,3496
5,4187
5,4318
5,4892
5,5340
5,5767
5,5841
5,6191
5,6685
5,6756
5,6818
5,7134
5,7757
5,8768
5,9527
6,273
6,340
6,823
6,909
6,944
6,1001
6,1564
6,1879
6,2167
6,2585
6,2702
6,2804
6,2832
6,2865
6,3093
6,3132
6,3596
6,3658
6,4500
6,4942
6,4948
6,5973
6,5982
6,6221
6,7042
6,7380
6,7465
6,7518
6,7749
6,7877
6,7999
6,8028
6,8063
6,8091
6,8104
6,8440
6,8695
6,8890
6,9022
6,9259
6,9383
6,9860
7,179
7,660
7,746
7,962
7,1059
7,1168
7,1490
7,1799
7,2008
7,2071
7,2108
7,2336
7,2418
7,2502
7,2526
7,2817
7,2912
7,3000
7,3043
7,3104
7,3146
7,3904
7,4015
7,4090
7,4326
7,4671
7,4718
7,4875
7,4887
7,5149
7,5494
7,5944
7,6008
7,6022
7,6092
7,6490
7,6595
7,7279
7,7341
7,7370
7,7432
7,7444
7,7823
7,8868
7,8962
7,8981
7,9105
7,9375
8,767
8,837
8,1091
8,1250
8,1885
8,2015
8,2157
8,2522
8,2873
8,3237
8,3642
8,3650
8,3856
8,3866
8,3895
8,4414
8,4671
8,4820
8,4955
8,5112
8,5619
8,5826
8,5934
8,6356
8,6419
8,7499
8,7504
8,7871
8,7879
8,7991
8,8345
8,8347
8,8592
8,8898
8,9592
9,668
9,838
9,1108
9,1234
9,1542
9,2091
9,2630
9,2666
9,2839
9,3176
9,3323
9,3392
9,3621
9,3670
9,3970
9,4213
9,4415
9,4482
9,4924
9,5640
9,5693
9,6198
9,6544
9,6750
9,7163
9,7218
9,7358
9,7382
9,7584
9,7785
9,7793
9,7849
9,7860
9,8062
9,8493
9,8578
9,8743
9,8999
9,9095
9,9101
9,9128
9,9272
9,9388
10,718
10,1060
10,2942
10,3256
10,3380
10,3476
10,4607
10,5218
10,5438
10,5928
10,5964
10,6269
10,7988
10,8198
10,8312
10,8394
10,9755
11,424
11,845
11,1633
11,1731
11,2146
11,2578
11,2648
11,2704
11,2820
11,2915
11,3172
11,4267
11,4420
11,4447
11,4656
11,4957
11,4971
11,5072
11,5345
11,5376
11,5454
11,5960
11,6311
11,6907
11,7124
11,7467
11,7942
11,7989
11,8375
11,8489
11,8685
11,8726
11,8783
11,8855
11,9019
11,9561
12,136
12,423
12,671
12,733
12,1800
12,2451
12,3246
12,4108
12,4665
12,5033
12,5183
12,5220
12,5226
12,5362
12,5522
12,6678
12,6801
12,7816
12,8641
12,8828
12,9070
12,9996
13,999
13,1471
13,1660
13,2041
13,3380
13,4318
13,4726
13,5720
13,5761
13,6570
13,6665
13,6769
13,7008
13,7479
13,8074
13,8087
13,8459
13,8765
13,9359
14,35
14,219
14,457
14,840
14,1580
14,1960
14,2453
14,2590
14,2657
14,2847
14,2848
14,2955
14,3283
14,3363
14,3446
14,3726
14,4147
14,4351
14,4389
14,4643
14,4665
14,5157
14,5416
14,5985
14,6241
14,6652
14,6883
14,6933
14,7010
14,7071
14,7074
14,7099
14,7215
14,7601
14,7845
14,8032
14,8115
14,8520
14,8700
14,9469
15,452
15,454
15,2092
15,2578
15,3241
15,3457
15,3728
15,4051
15,4151
15,4656
15,5039
15,5054
15,5443
15,5781
15,5857
15,6268
15,6938
15,7226
15,7294
15,7531
15,7891
15,8188
15,8273
15,8500
15,8918
15,9257
15,9504
15,9741
16,160
16,343
16,1017
16,1452
16,1950
16,2251
16,2263
16,2320
16,2385
16,2557
16,2613
16,2707
16,3169
