,source,target
0,8416,3833
1,82641,96947
2,38778,12581
3,9625,73986
4,50331,64106
5,24294,94798
6,12581,38778
7,76578,18639
8,94798,24294
9,33616,97271
10,73986,9625
11,64106,50331
12,18457,85948
13,60402,16907
14,68839,79497
15,85948,18457
16,16907,60402
17,79497,68839
18,96947,82641
19,3833,8416
20,7113,93889
21,93889,7113
22,18639,76578
23,42625,89158
24,3271,60258
25,5824,49687
26,57649,98422
27,11481,19625
28,86959,36798
29,19416,6463
30,62867,52571
31,89158,42625
32,19625,11481
33,98422,59922
34,57649,3602
35,50928,23643
36,59922,98422
37,14907,2766
38,50928,47502
39,98422,57649
40,3602,57649
41,11481,50928
42,52571,62867
43,6463,19416
44,60258,3271
45,50928,11481
46,47502,50928
47,2766,14907
48,49687,5824
49,36798,86959
50,22796,36798
51,23643,50928
52,36798,22796
53,31745,34084
54,55872,6378
55,19371,61066
56,58496,31745
57,34084,31745
58,31745,58496
59,61066,19371
60,6378,55872
61,89271,76321
62,70878,26910
63,26910,70878
64,70499,70878
65,38154,74490
66,76321,89271
67,74490,38154
68,70878,70499
69,64945,15830
70,15830,64945
71,33530,6804
72,6804,33530
73,39219,49788
74,72423,22564
75,49788,39219
76,2791,62838
77,62838,2791
78,22564,72423
79,635,49607
80,9440,61937
81,64466,67550
82,2997,76972
83,61937,77129
84,49607,635
85,77129,61937
86,9946,635
87,635,64466
88,61937,9440
89,67550,64466
90,9946,74033
91,635,9946
92,76972,2997
93,64466,635
94,21145,14269
95,14269,21145
96,13531,18381
97,52950,14964
98,82016,65630
99,18381,62054
100,50125,71736
101,18381,13531
102,14964,52950
103,71736,50125
104,68371,38055
105,38055,68371
106,65630,82016
107,86143,34163
108,53039,20589
109,34163,86143
110,62054,18381
111,20589,53039
112,61843,97127
113,61843,65424
114,48108,10768
115,10768,69764
116,65765,1455
117,44132,14568
118,11723,6728
119,14568,44132
120,54482,53802
121,37565,83465
122,91119,95642
123,68186,8953
124,97127,61843
125,83465,69764
126,6728,11723
127,64753,92942
128,62133,37260
129,91119,1614
130,98698,44132
131,17189,49136
132,10768,48108
133,69764,10768
134,1455,46794
135,92942,64753
136,65424,61843
137,92942,81071
138,64753,49322
139,46794,1455
140,85245,34188
141,80562,25733
142,49322,64753
143,49136,17189
144,34188,85245
145,25733,80562
146,44132,24100
147,1614,91119
148,83465,37565
149,1455,65765
150,37260,62133
151,9668,94991
152,95642,91119
153,44132,98698
154,94991,9668
155,81071,92942
156,69764,83465
157,24100,44132
158,8953,68186
159,53802,54482
160,95296,13434
161,13434,95296
162,74252,33265
163,71973,80145
164,33265,74252
165,80145,71973
166,99170,24828
167,43584,84484
168,34590,1124
169,88918,1469
170,79251,59658
171,95150,11769
172,1469,88918
173,61333,35561
174,1124,34590
175,59658,79251
176,35561,61333
177,1124,6187
178,50168,43186
179,11769,95150
180,84484,43584
181,43186,50168
182,6187,1124
183,36038,4990
184,4990,36038
185,7668,34991
186,81773,89207
187,89207,81773
188,34991,7668
189,20911,42580
190,58173,96058
191,37185,55933
192,97291,49397
193,38671,10331
194,96058,58173
195,40093,25065
196,15665,35430
197,16264,92682
198,92682,16264
199,74284,83111
200,55933,37185
201,92682,55754
202,83111,74284
203,35430,15665
204,55754,92682
205,23379,3751
206,65854,57892
207,3751,23379
208,75338,38671
209,42580,20911
210,49397,97291
211,38671,75338
